code_muni,name_muni,code_state,abbrev_state,geometry
2700102.0,Água Branca,27,AL,"MULTIPOLYGON (((-37.96537394199998 -9.244773480299555, -37.95962499999996 -9.241052778299416, -37.96122338299995 -9.238702603299393, -37.97192503099996 -9.241152030299473, -37.98023381899998 -9.240635462299434, -37.98624098299996 -9.236277046299287, -37.98851128499996 -9.232131457299189, -37.98377929799994 -9.225983717298991, -37.97962800699997 -9.223992162298897, -37.97719887599992 -9.219556621298793, -37.97382937299994 -9.218616100298767, -37.97145277799996 -9.215972222298671, -37.97326698399995 -9.2071019942984, -37.97315541399995 -9.195455504297994, -37.98351924199994 -9.191672856297908, -37.98714948099996 -9.187698227297764, -37.98324722199993 -9.177941667297489, -37.98541857099997 -9.176172176297424, -37.98896467899993 -9.176807520297437, -37.99363764399993 -9.17250983129731, -37.99641345099997 -9.173322249297339, -38.00205011099995 -9.170747032297244, -38.00058821299995 -9.166416153297099, -38.00321606999995 -9.165186469297062, -38.00261422799996 -9.162624129296979, -38.00776406999994 -9.160435668296909, -38.01210724699996 -9.156043090296805, -37.99948227399994 -9.152243598296636, -37.99098623199995 -9.155376224296759, -37.98754024699996 -9.153685918296707, -37.98465216499994 -9.149789764296569, -37.97856291399994 -9.147661993296513, -37.97620231299992 -9.136189888296155, -37.97175838499993 -9.131041883296007, -37.97120021699993 -9.124341776295777, -37.96158240199996 -9.12012992229565, -37.95756822299995 -9.115629755295503, -37.95485003699996 -9.11131460329536, -37.95164082499996 -9.097426372294976, -37.76882445299998 -9.288777955300935, -37.76831123999994 -9.292022631301029, -37.77074017299997 -9.294265904301071, -37.77042509299997 -9.299864083301259, -37.77372205699992 -9.304047257301432, -37.77423819399996 -9.316937014301825, -37.77699326999993 -9.324223898302042, -37.78290940999993 -9.32738346130215, -37.78515849399997 -9.325896142302124, -37.79285355999997 -9.328428680302171, -37.79726511099995 -9.326471996302109, -37.80220483499993 -9.329509166302227, -37.80453254299994 -9.327641965302153, -37.80867168599996 -9.32958387330218, -37.81388113699995 -9.335861871302409, -37.81819820899995 -9.335034279302397, -37.82032506699993 -9.33730106930247, -37.82009922799995 -9.339070172302495, -37.82338167299997 -9.341177216302569, -37.82487776599993 -9.349729375302875, -37.83312684199995 -9.352732672302926, -37.83367522799995 -9.363104783303228, -37.84467249899996 -9.372512969303557, -37.84609502299997 -9.375864142303653, -37.84505637299998 -9.377625828303723, -37.84987471799997 -9.387348801304029, -37.84977483799997 -9.390834449304132, -37.85291670399993 -9.392750867304203, -37.85371377399997 -9.395272684304272, -37.85899031699995 -9.39655405630432, -37.85849075099997 -9.4006012373044, -37.86057167499995 -9.401712698304443, -37.86346409099997 -9.400756105304456, -37.86503554199992 -9.404328983304575, -37.86823469599994 -9.406103020304577, -37.87099467499996 -9.403599091304503, -37.87269991999995 -9.405072288304552, -37.87228333299998 -9.406633333304606, -38.00023743499997 -9.336117471302433, -37.98325679099997 -9.330086558302233, -37.98073323699997 -9.313528138301731, -37.97784269699996 -9.310391934301609, -37.97726995999994 -9.305655478301459, -37.98067403499994 -9.30195881130137, -37.97993696799994 -9.300536724301276, -37.97603246899995 -9.300015484301296, -37.97548912899997 -9.298480459301251, -37.97785066499994 -9.295376394301138, -37.97789444099992 -9.29091481030099, -37.98245791899996 -9.285852997300841, -37.98249375599994 -9.283582318300775, -37.97865514799997 -9.277658986300578, -37.97911041299994 -9.274629963300475, -37.97698198499995 -9.266711969300257, -37.97008940899997 -9.262823979300139, -37.96746111099996 -9.257697222299948, -37.96267006299995 -9.253675668299868, -37.96166111099995 -9.250069444299735, -37.96557565799998 -9.25014622429971, -37.96675135499992 -9.246079329299583, -37.96537394199998 -9.244773480299555)))"
2700201.0,Anadia,27,AL,"MULTIPOLYGON (((-36.38462970399996 -9.654986129312368, -36.39416473999995 -9.648367598312133, -36.38082923099994 -9.635367232311749, -36.38860699399993 -9.628772890311531, -36.39210489699997 -9.602904886310768, -36.35039746399996 -9.592274008310401, -36.34713009599994 -9.593232078310455, -36.34423667999993 -9.598448941310599, -36.34623368299998 -9.604606176310789, -36.34916508299994 -9.604257229310758, -36.35133611099996 -9.60694444431088, -36.32086524299995 -9.610127628310929, -36.31648409599995 -9.612819830311071, -36.31320251399994 -9.610188467310952, -36.30746951299994 -9.609620772310954, -36.30278329899993 -9.604457086310786, -36.29369155299997 -9.601330210310699, -36.29298693099997 -9.602814177310751, -36.29082212999999 -9.602573192310734, -36.28797222199995 -9.608805556310907, -36.25481026799996 -9.621466468311306, -36.23944299799996 -9.67533025431301, -36.25321666699995 -9.729719444314673, -36.26955885199992 -9.731079316314734, -36.28006358499994 -9.734386174314819, -36.31017596999993 -9.723309971314459, -36.31883946399994 -9.722779003314484, -36.32261972899993 -9.71939704331437, -36.32844330699992 -9.704373217313902, -36.33027690399996 -9.705894735313938, -36.33271149899997 -9.713458829314169, -36.33476983299994 -9.727349029314642, -36.34343615199998 -9.738208624314973, -36.34269423699993 -9.73270249031477, -36.34451984699996 -9.721571755314423, -36.34313864299997 -9.71321466831419, -36.34713879999999 -9.710098463314072, -36.35527537799993 -9.708145428314031, -36.36369361199996 -9.701612476313821, -36.36416720499994 -9.699446782313732, -36.36605089999995 -9.70004996731374, -36.37071499099994 -9.697944171313694, -36.37346493699993 -9.687581279313385, -36.37208342499996 -9.677526728313078, -36.37483320799998 -9.672999704312906, -36.37563205799995 -9.666282110312691, -36.37944192699996 -9.657684654312474, -36.38462970399996 -9.654986129312368)))"
2700300.0,Arapiraca,27,AL,"MULTIPOLYGON (((-36.73545196299995 -9.736287768314881, -36.75446565799994 -9.707373633314011, -36.72586908599992 -9.676308807313001, -36.71187476999995 -9.663327766312621, -36.68698560299998 -9.652108028312256, -36.68607145199996 -9.635447635311742, -36.65586630999996 -9.643140863311963, -36.65315047899998 -9.640437193311916, -36.64610652799995 -9.639811717311876, -36.64427603399997 -9.637614331311816, -36.63919219299993 -9.635959441311782, -36.63676582599992 -9.636898180311784, -36.63811124499995 -9.63904686231184, -36.63486585599998 -9.642682629311997, -36.63204489999998 -9.643138079311953, -36.63152023999993 -9.644926989312021, -36.63059920899997 -9.643775865311994, -36.62817707899995 -9.64418378231205, -36.62604735799993 -9.650917470312248, -36.62333661399998 -9.651116309312268, -36.62457973699998 -9.652697310312277, -36.62363292899993 -9.655189145312356, -36.61966628099998 -9.655596275312369, -36.61672519299997 -9.653359209312317, -36.61280297499996 -9.653579297312337, -36.61164795199994 -9.652274632312265, -36.60930794899997 -9.653687223312327, -36.60787582599994 -9.656531528312401, -36.61051963899995 -9.663103378312606, -36.61000357299996 -9.665561896312651, -36.59573374399997 -9.68373869931324, -36.59484339799997 -9.692221313313505, -36.58756542699997 -9.692228797313488, -36.58586146399995 -9.694622282313578, -36.58708389099996 -9.69706347631363, -36.58425590399997 -9.700457465313765, -36.58120713899996 -9.700725616313777, -36.58037481299994 -9.704430248313875, -36.57700263199995 -9.706925030313995, -36.57284525299997 -9.705848622313944, -36.57040599799996 -9.708813933314017, -36.57668741599996 -9.709586839314037, -36.58158481699996 -9.708197948314012, -36.58366155299996 -9.714484230314179, -36.57567227599997 -9.72758895231463, -36.57781780199996 -9.737135352314887, -36.57353437599993 -9.743821220315132, -36.57297680699997 -9.749516381315328, -36.56400364699994 -9.761188565315646, -36.55836037899996 -9.764036735315726, -36.55691721099998 -9.766201261315805, -36.55875988699995 -9.768261890315877, -36.55191447199996 -9.771426618315996, -36.56272270599993 -9.791221360316603, -36.56519492999995 -9.803573115316961, -36.55578851299997 -9.805171401317015, -36.54860083599993 -9.808920723317172, -36.55310675999993 -9.821514396317525, -36.55494132099994 -9.834848004317962, -36.55479554599999 -9.837999771318025, -36.55317129399999 -9.839059582318079, -36.55489632099994 -9.840362325318106, -36.55544404399996 -9.850929975318421, -36.55383500799996 -9.856364713318605, -36.54139698999995 -9.871676142319085, -36.54259125099997 -9.871892992319111, -36.54154006099998 -9.881804815319411, -36.56320792199995 -9.874284322319157, -36.56874733399997 -9.875085400319181, -36.58472083099997 -9.881316315319362, -36.58876615599996 -9.879972167319334, -36.59116484799995 -9.878518695319302, -36.59134346499996 -9.87145640731905, -36.59418902099998 -9.869832199319045, -36.59669148499995 -9.865932535318926, -36.59591286099993 -9.860992147318745, -36.59854014599995 -9.85637504831862, -36.60075762899994 -9.855086449318568, -36.60146444499998 -9.843656280318214, -36.60432788599997 -9.842866799318211, -36.60550268199995 -9.846745585318317, -36.60862167499993 -9.850201835318419, -36.61343662899998 -9.848464612318342, -36.61396862999993 -9.846715144318351, -36.61928043899997 -9.84811727031834, -36.62255658599997 -9.852559601318482, -36.62559364199996 -9.85221949131852, -36.62245135399996 -9.848166727318382, -36.62429522699995 -9.847736879318362, -36.62638573899994 -9.84352606031821, -36.62540806199996 -9.836931965318026, -36.69384866299998 -9.802659800316947, -36.71993312599994 -9.759083542315564, -36.73545196299995 -9.736287768314881)))"
2700409.0,Atalaia,27,AL,"MULTIPOLYGON (((-36.05322211899993 -9.424063713305154, -36.01654780599995 -9.397321381304304, -36.01437835299997 -9.400972003304423, -35.92877463299993 -9.374604544303622, -35.93089436299994 -9.461730607306325, -35.93369502299998 -9.462780159306405, -35.93300950599997 -9.480879441306948, -35.93724285899997 -9.492492083307294, -35.93948958399993 -9.492430089307316, -35.94043283499997 -9.498001842307469, -35.95974999999993 -9.528038889308407, -36.00065833299993 -9.574472222309833, -36.00044376199997 -9.577368059309972, -36.00568222099997 -9.585718306310177, -36.00884230199994 -9.584286764310173, -36.01229292599992 -9.579848337310002, -36.01442373199995 -9.580141594310026, -36.01707372399994 -9.576274009309941, -36.04102672099998 -9.583879840310155, -36.07235453999994 -9.598676134310601, -36.07700930699997 -9.59688080031054, -36.08578270499993 -9.600394676310644, -36.09290257099997 -9.601133437310668, -36.10213274399995 -9.597375973310564, -36.12147053599994 -9.596531358310529, -36.12834396199997 -9.599348863310606, -36.13093137399994 -9.605065734310793, -36.13841268799995 -9.61306988131105, -36.14981422899996 -9.61202383131099, -36.15514770199996 -9.614756886311104, -36.15736256899993 -9.618708875311269, -36.17065885799997 -9.614912848311128, -36.17470175999995 -9.611522748311033, -36.17763524299995 -9.61282236031102, -36.18092499999994 -9.612250000311047, -36.19165555599994 -9.600150000310634, -36.21852222199993 -9.563191666309509, -36.22684444399993 -9.514497222307954, -36.22095277799997 -9.484263889307069, -36.20805125199995 -9.455437432306121, -36.15577573299998 -9.472873620306709, -36.15361711899993 -9.472147978306658, -36.14984109199996 -9.466448485306477, -36.14432506499998 -9.461596565306349, -36.14164600499998 -9.46031762630629, -36.13865912599994 -9.46102196030628, -36.13347047199994 -9.454306308306114, -36.12477407399995 -9.458662999306254, -36.11386221199996 -9.456082533306175, -36.11471656499998 -9.453492665306078, -36.10679711599993 -9.451521187306042, -36.10380980499996 -9.451318125306003, -36.10390066399998 -9.453052709306087, -36.10208476699995 -9.453905243306089, -36.07367740899997 -9.432630155305439, -36.05322211899993 -9.424063713305154)))"
2700508.0,Barra De Santo Antônio,27,AL,"MULTIPOLYGON (((-35.49639465399997 -9.398905358304408, -35.49577558199997 -9.405869217304611, -35.49860370399995 -9.415976995304883, -35.50436259999998 -9.418772699304983, -35.50128778099997 -9.421335032305072, -35.50032971299992 -9.420136524305029, -35.50001776299996 -9.42165780030507, -35.51061201599998 -9.433307954305432, -35.51058047999992 -9.435703234305544, -35.51324050699998 -9.439899194305658, -35.52027408899995 -9.440433002305689, -35.52459182899997 -9.442626155305749, -35.52658411399995 -9.440944195305669, -35.52802895899998 -9.436571936305549, -35.52960895799998 -9.436712111305551, -35.52958452599994 -9.438356574305619, -35.53174976199995 -9.435702410305538, -35.53146335199995 -9.43186856230543, -35.53460271099993 -9.430251610305362, -35.53721074499998 -9.423599775305153, -35.54151671899995 -9.421600399305078, -35.54595994699997 -9.416258801304945, -35.54477210099997 -9.409267896304716, -35.54950208699995 -9.403848733304542, -35.55281493699993 -9.403318312304531, -35.55295725499996 -9.404340152304567, -35.55756678099993 -9.40413734530456, -35.55974108599997 -9.405463393304551, -35.56877038099997 -9.401344825304472, -35.57280272799993 -9.402390073304478, -35.57596535299994 -9.401586637304488, -35.57912007199996 -9.403575723304526, -35.58087721199996 -9.402465869304509, -35.58668433099996 -9.404459743304555, -35.58918219399993 -9.403581596304559, -35.59567641499996 -9.409004699304717, -35.59569222799996 -9.407624062304674, -35.59901298399996 -9.407296452304648, -35.60098171799995 -9.404503959304545, -35.60241280599996 -9.405159183304587, -35.60256303099992 -9.407538259304681, -35.60314020999993 -9.40596261030462, -35.60536195399993 -9.406742636304617, -35.60545683299995 -9.408310481304675, -35.60982916199998 -9.406212219304598, -35.61099933399998 -9.407678663304653, -35.61107839899995 -9.404301151304569, -35.62100450199994 -9.409869068304758, -35.62198353899998 -9.407834483304631, -35.62400487599995 -9.408267791304681, -35.62768365699997 -9.404831994304544, -35.63354994399999 -9.40557964130462, -35.64072266999994 -9.401666214304431, -35.64950675299997 -9.404744559304543, -35.65489330699995 -9.402679710304511, -35.65803496899997 -9.403915061304557, -35.66599370299996 -9.398885378304367, -35.66798585199995 -9.399851866304409, -35.67664999999994 -9.398583333304378, -35.69054999999997 -9.371000000303532, -35.58069671399994 -9.359296858303116, -35.56611099699995 -9.356482095303042, -35.56140166299997 -9.358230159303108, -35.53604999999992 -9.346900000302753, -35.53098487699997 -9.347451244302778, -35.52402176899994 -9.354571524302964, -35.51783333299994 -9.355000000303024, -35.51765297899994 -9.353463010302924, -35.51595054499995 -9.353803510302985, -35.51722353599996 -9.351972374302928, -35.51338155699995 -9.348408442302787, -35.51322051599993 -9.346108136302721, -35.52023730399997 -9.32370962030201, -35.51439999999996 -9.314300000301722, -35.47249116499995 -9.358033121303093, -35.48342706699997 -9.369690991303477, -35.49072076899994 -9.381054563303829, -35.49512082099994 -9.39062122430415, -35.49639465399997 -9.398905358304408)))"
2700607.0,Barra De São Miguel,27,AL,"MULTIPOLYGON (((-35.96102696899993 -9.836147572318009, -35.96288395499994 -9.833254320317939, -35.97529933499992 -9.826477970317658, -35.98391887799993 -9.825927187317648, -35.99102421299994 -9.818407035317444, -35.99777002999997 -9.819543989317477, -35.99977337599994 -9.818178181317439, -36.00022946999997 -9.815435680317346, -36.00566005899997 -9.811132365317182, -36.00841231399994 -9.812214204317208, -36.00941290999998 -9.810640183317227, -36.01024113099992 -9.811667701317246, -36.01640908499996 -9.807772693317107, -36.01941149299994 -9.808297017317152, -36.02276507599998 -9.811498800317239, -36.02638142199991 -9.811637862317214, -36.02610266299996 -9.809102227317116, -36.02804928399996 -9.808570159317114, -36.00456288999993 -9.767097407315829, -36.00074211699996 -9.774528493316062, -35.99124427399993 -9.781827679316297, -35.98875040499995 -9.781452816316289, -35.98032254999998 -9.786374025316418, -35.97771645699992 -9.784489818316377, -35.97349308399998 -9.784421954316421, -35.96766007499997 -9.788193993316479, -35.96146158299995 -9.790004220316559, -35.95658023799995 -9.786691251316487, -35.94140632299997 -9.787891428316509, -35.93827097999998 -9.78960516931657, -35.93738258199994 -9.79472433131669, -35.93549421099993 -9.794376322316685, -35.93349438299997 -9.796675959316765, -35.92649279099993 -9.795715017316752, -35.92235415699997 -9.799530662316826, -35.92191035899998 -9.803839676316967, -35.91602211999997 -9.805328167317056, -35.91471558299997 -9.80956894531718, -35.91049606699994 -9.809295413317168, -35.90558919899996 -9.811886707317218, -35.85525452299992 -9.788283769316516, -35.88712863599994 -9.837145857318015, -35.89167485399997 -9.841373387318177, -35.90248924499996 -9.846733852318302, -35.90477114399993 -9.851409204318434, -35.90474009099995 -9.855853994318629, -35.90912680699994 -9.847819424318375, -35.91788147899996 -9.838741999318101, -35.92324406699999 -9.837964941318024, -35.93826502399996 -9.844778891318285, -35.94837644399996 -9.845312824318288, -35.95344252599994 -9.843849277318222, -35.96102696899993 -9.836147572318009)))"
2700706.0,Batalha,27,AL,"MULTIPOLYGON (((-37.18084661999995 -9.738183767314951, -37.18470057499997 -9.736683438314893, -37.21901676399995 -9.710160725314102, -37.21834335099993 -9.707742377313986, -37.21987608599994 -9.701980711313842, -37.21461768499994 -9.702615187313818, -37.21617595399993 -9.698278896313736, -37.21371157699996 -9.693539450313544, -37.19097604699993 -9.690391243313476, -37.15392062799998 -9.616099291311157, -37.15306437499993 -9.61754201331116, -37.14714455999997 -9.603115266310777, -37.10989426899993 -9.606004153310833, -37.05178008499996 -9.619300190311229, -37.05392598199995 -9.622613614311325, -37.06000591599996 -9.6266100103115, -37.06294793099994 -9.63254565531164, -37.06761314399994 -9.636914983311772, -37.06711944999995 -9.658440102312445, -36.99288262699998 -9.721137829314403, -37.00144376799994 -9.729325194314658, -37.00261300799997 -9.733395087314808, -37.00180443399995 -9.73771508131496, -36.99924839199997 -9.739017672314942, -36.99824836699997 -9.74128821631502, -36.99935189999997 -9.744560502315151, -36.99726318199998 -9.75724467431553, -36.99895963299997 -9.763630867315742, -37.00315485999994 -9.763211617315726, -37.00804381199998 -9.766856169315808, -37.00902583899995 -9.769313044315897, -37.01485535099994 -9.769774400315933, -37.01919459999994 -9.776010425316155, -37.02027541799998 -9.784321232316399, -37.02449551499996 -9.786831809316473, -37.02926438099996 -9.786291234316472, -37.03186831999994 -9.78753206531646, -37.03788136099996 -9.802468859316916, -37.03787527799994 -9.807220277317068, -37.04162280799993 -9.80767923631711, -37.04636761199998 -9.806098195317047, -37.04813666699993 -9.801572585316933, -37.05642086099994 -9.800058929316853, -37.06380830699992 -9.791749481316625, -37.06819354299994 -9.790456513316606, -37.07178533199993 -9.792442846316646, -37.08269706299996 -9.794440721316686, -37.09236248899997 -9.794260297316672, -37.10308705499995 -9.78931797631653, -37.10303114499992 -9.791304616316587, -37.15529094699996 -9.760544654315636, -37.16286475699997 -9.75369867331545, -37.16256963599994 -9.746723305315198, -37.16740660699998 -9.742128513315064, -37.17458459599992 -9.741468622315045, -37.18084661999995 -9.738183767314951)))"
2700805.0,Belém,27,AL,"MULTIPOLYGON (((-36.50215589199995 -9.592383643310415, -36.53766088499999 -9.533275564308573, -36.53325848299994 -9.532397085308554, -36.53174442699998 -9.529690311308464, -36.52622683799996 -9.528037076308436, -36.52485470099997 -9.524958888308301, -36.52644495899995 -9.524529518308292, -36.52509323999993 -9.522398573308244, -36.52555441399993 -9.513699864307945, -36.52197633499996 -9.508929092307818, -36.51893894299996 -9.507672788307801, -36.51788937299995 -9.50562135630771, -36.51892303999995 -9.503379093307654, -36.51241944699995 -9.503417725307655, -36.50146981199997 -9.499220187307483, -36.49781155599992 -9.500624101307572, -36.49493335699998 -9.499915621307524, -36.49077103799993 -9.503148060307607, -36.48836388899996 -9.502199166307619, -36.44681174899994 -9.605905886310826, -36.44935170599995 -9.611460711310999, -36.45323609499997 -9.61547146331112, -36.45996111799996 -9.618179416311225, -36.46566639399997 -9.618423296311205, -36.46691106599997 -9.60911921031094, -36.46905796899994 -9.606000579310839, -36.48109780699995 -9.607162484310876, -36.48206068999997 -9.605373188310784, -36.49524833299994 -9.603883333310756, -36.50215589199995 -9.592383643310415)))"
2700904.0,Belo Monte,27,AL,"MULTIPOLYGON (((-37.27379032399994 -9.765365023315805, -37.26671579699996 -9.762565518315734, -37.25909228799998 -9.757326466315535, -37.25926726599994 -9.753562582315435, -37.25144829199996 -9.749360043315303, -37.24972349199993 -9.737364838314937, -37.23923007299993 -9.7363009673149, -37.23837855499994 -9.731559615314771, -37.23608475699994 -9.729232851314665, -37.23001596299997 -9.730086137314686, -37.23047155599993 -9.72263801331445, -37.22672350599998 -9.721549395314421, -37.22420902699997 -9.722765818314491, -37.22198478399997 -9.721323921314431, -37.21901676399995 -9.710160725314102, -37.18470057499997 -9.736683438314893, -37.17458459599992 -9.741468622315045, -37.16740660699998 -9.742128513315064, -37.16256963599994 -9.746723305315198, -37.16286475699997 -9.75369867331545, -37.15529094699996 -9.760544654315636, -37.10303114499992 -9.791304616316587, -37.10308705499995 -9.78931797631653, -37.09236248899997 -9.794260297316672, -37.08269706299996 -9.794440721316686, -37.07178533199993 -9.792442846316646, -37.06819354299994 -9.790456513316606, -37.06380830699992 -9.791749481316625, -37.05642086099994 -9.800058929316853, -37.05289746999994 -9.801289492316922, -37.05033361299996 -9.800575416316894, -37.04813666699993 -9.801572585316933, -37.04636761199998 -9.806098195317047, -37.04018972199997 -9.807315000317102, -37.10349306199998 -9.84782026431834, -37.10547871699998 -9.847937519318377, -37.10591994599996 -9.852641521318503, -37.10785359599998 -9.854361467318535, -37.10710008999997 -9.865312110318886, -37.11083243799992 -9.868082812318974, -37.11412418999998 -9.868014604318951, -37.11830038399995 -9.873277523319148, -37.11776339599993 -9.880515183319359, -37.11949619499996 -9.885308162319509, -37.11800779699995 -9.890021882319624, -37.12331781499996 -9.889929833319634, -37.12547354299993 -9.892065421319705, -37.12670897399993 -9.902907914320069, -37.13342232799993 -9.913206639320368, -37.14253916699993 -9.906254145320155, -37.15296598999998 -9.900852862320001, -37.16684289599993 -9.898786217319932, -37.20014743299998 -9.898061748319934, -37.22659231499995 -9.899476225319942, -37.23554255099999 -9.896037728319847, -37.24553378499996 -9.886982240319563, -37.25110276299995 -9.8781037193193, -37.25693803099994 -9.860268777318717, -37.26420119099998 -9.850434720318431, -37.28542131999995 -9.830962997317844, -37.29719957799994 -9.827599687317734, -37.29837107499998 -9.817378626317383, -37.31013129699994 -9.804040597316975, -37.30995879799996 -9.801497463316926, -37.30183476699995 -9.79214036131663, -37.30358494799998 -9.789516723316552, -37.29869347599998 -9.783908968316354, -37.28692898299993 -9.777462060316152, -37.28873773399994 -9.772233071316, -37.28298602299998 -9.770771376315981, -37.28030820799994 -9.773905079316084, -37.27735887399996 -9.773576227316072, -37.27379032399994 -9.765365023315805)))"
2701001.0,Boca Da Mata,27,AL,"MULTIPOLYGON (((-36.24570704599994 -9.611034682311011, -36.24004444399998 -9.593472222310428, -36.21143611099995 -9.595913889310552, -36.19165555599994 -9.600150000310634, -36.18092499999994 -9.612250000311047, -36.18175385399996 -9.612799329311031, -36.17719350299995 -9.619033652311213, -36.17694205499998 -9.621321408311331, -36.16160231799994 -9.62492104631141, -36.15774169199994 -9.623805651311374, -36.15577470799996 -9.624918574311401, -36.15460532299993 -9.627272232311473, -36.15130143999993 -9.628491901311545, -36.14877133099997 -9.63290435331167, -36.14568900599994 -9.634057016311688, -36.14468650799995 -9.637567343311797, -36.14149595799995 -9.638863175311821, -36.14088388899994 -9.645444393312046, -36.13438656599993 -9.645485606312084, -36.13413752699994 -9.648740031312157, -36.13216397699995 -9.651123402312226, -36.12835991899993 -9.648765699312182, -36.11526780899992 -9.649428391312197, -36.10763365499997 -9.643520246312038, -36.10444235199997 -9.638791794311825, -36.10224492699996 -9.644799703312017, -36.09876686299998 -9.647330823312119, -36.09906696499996 -9.651901977312273, -36.09610608799994 -9.652307088312245, -36.09441260199997 -9.655922005312414, -36.09004870499996 -9.655636044312384, -36.08563124199998 -9.663166652312631, -36.07888553299995 -9.667592635312749, -36.07749463599998 -9.671653263312862, -36.07508140199997 -9.673734489312947, -36.07885589099994 -9.679609362313123, -36.06858321399994 -9.689101871313397, -36.07871352199993 -9.694400035313569, -36.17863716599993 -9.717213098314286, -36.18085786999995 -9.725320676314574, -36.24655691199996 -9.732468350314779, -36.25321666699995 -9.729719444314673, -36.23944299799996 -9.67533025431301, -36.25481026799996 -9.621466468311306, -36.24992777799997 -9.623330555311369, -36.24570704599994 -9.611034682311011)))"
