code_muni,name_muni,code_state,abbrev_state,geometry
2400109.0,Acari,24,RN,"MULTIPOLYGON (((-36.75809363099994 -6.512947843212905, -36.76111075599993 -6.51567075821299, -36.76572482099994 -6.508787422212762, -36.77431562599998 -6.472962434211623, -36.76122859899994 -6.478546355211767, -36.75350705399995 -6.448253564210832, -36.74225835199996 -6.392937640209045, -36.74175300399997 -6.377623431208574, -36.75243004899995 -6.353894922207773, -36.74858526399998 -6.350323176207681, -36.74842865199997 -6.341568255207402, -36.73915121399994 -6.336423134207245, -36.75415361199997 -6.320543148206715, -36.75236872199996 -6.316722269206602, -36.74473893299995 -6.31053282220642, -36.73856001399998 -6.301807400206131, -36.71639491499997 -6.300996900206118, -36.71575045799994 -6.295258467205899, -36.71349359699997 -6.294353438205887, -36.71326188999995 -6.290032124205717, -36.71065252699999 -6.286891528205622, -36.70958975099995 -6.276956913205305, -36.70165584799997 -6.274045625205186, -36.69858815899994 -6.276858506205302, -36.69288442499992 -6.272606127205171, -36.68959857399994 -6.274575060205235, -36.68159415899993 -6.269805304205067, -36.67795744899996 -6.271323381205121, -36.67561829399995 -6.269968628205095, -36.67250201899997 -6.275269235205249, -36.66253287099993 -6.278518880205391, -36.65854508899997 -6.276696495205305, -36.65474374599994 -6.272215774205163, -36.65198867799995 -6.273410044205186, -36.64524843799995 -6.27045103820512, -36.63980874499998 -6.271303197205131, -36.63061248099995 -6.268513068205037, -36.62835505999993 -6.27112797120511, -36.62902504499993 -6.275208720205268, -36.62622193199996 -6.285531475205596, -36.61968008499997 -6.288143135205642, -36.61750710199993 -6.292319339205815, -36.61383989599994 -6.293074683205801, -36.59605876799998 -6.288233274205655, -36.59249051099994 -6.296988971205957, -36.58945798399997 -6.297270280205969, -36.58424022399998 -6.3005422612061, -36.58581336199994 -6.304468629206164, -36.58475308299996 -6.306375861206249, -36.57584911799996 -6.307813502206272, -36.57086063199995 -6.309747194206372, -36.56999255899995 -6.311478741206451, -36.56768383899998 -6.310878974206394, -36.56443631199994 -6.312855203206498, -36.56191469599997 -6.317797925206666, -36.55994229799995 -6.327436455206917, -36.55764170799994 -6.328614995206975, -36.55762003799997 -6.330235132206997, -36.55482419399993 -6.330802662207042, -36.55323216799997 -6.339877821207349, -36.54798402499994 -6.344374067207464, -36.55085770999995 -6.350793200207667, -36.55085677999994 -6.361855029208071, -36.54583844699994 -6.363805000208116, -36.54364341599995 -6.367056001208242, -36.54242500099997 -6.372902793208426, -36.53803533699994 -6.372611146208374, -36.51782838999998 -6.37821254220859, -36.50437751599997 -6.386450888208845, -36.50749187899993 -6.400116690209277, -36.51073190499994 -6.407478027209519, -36.51867229899995 -6.418079676209828, -36.52892712799996 -6.443338268210654, -36.53097155399997 -6.452071557210957, -36.52953025499994 -6.465665982211397, -36.53082481399996 -6.471831468211583, -36.52821095099994 -6.479284170211843, -36.54566545899996 -6.484145622211996, -36.54903843899995 -6.482903011211957, -36.55144556099998 -6.484077168211972, -36.55862253499998 -6.478180698211796, -36.56051748399993 -6.479590551211824, -36.56785219499994 -6.478073829211763, -36.57977719099994 -6.472908252211632, -36.58706564499994 -6.484161287211983, -36.59459118199993 -6.485460289212004, -36.62580001499997 -6.511261107212828, -36.62318327599996 -6.516709069213011, -36.62948434599996 -6.522621239213194, -36.63091650499996 -6.526339782213353, -36.63657405699996 -6.528055246213385, -36.64260568099996 -6.535029063213631, -36.64809949199996 -6.532872320213548, -36.65843136699993 -6.554602269214225, -36.67531987399997 -6.576974652214933, -36.67974798299997 -6.579349156215066, -36.67897618899997 -6.551338827214124, -36.69506180799993 -6.557892963214357, -36.70351580299995 -6.538199340213704, -36.70478987299997 -6.539341424213715, -36.70871798199993 -6.535587528213639, -36.71240836399993 -6.536886962213645, -36.72417479099994 -6.52810706421336, -36.73673621899997 -6.525029373213287, -36.74064786099995 -6.521672088213187, -36.74286923699998 -6.516729542213008, -36.74742343299994 -6.518214442213052, -36.74915732499993 -6.513417632212925, -36.75039369299997 -6.513039884212913, -36.75168111399994 -6.515967643212989, -36.75368746799995 -6.513272234212914, -36.75809363099994 -6.512947843212905)))"
2400208.0,Açu,24,RN,"MULTIPOLYGON (((-37.16868519199994 -5.474541741179385, -37.14294974899997 -5.373903906176143, -37.13919261799998 -5.335570556174898, -37.12613533799998 -5.293424470173526, -37.05123125899997 -5.294082823173547, -37.02943189799998 -5.325695264174568, -36.92845293099997 -5.353741653175464, -36.85644655199996 -5.400866379177043, -36.83843149099994 -5.403757174177126, -36.84105627199995 -5.409147434177303, -36.84930669299995 -5.414093687177437, -36.85029914399996 -5.419146512177609, -36.86030584099995 -5.433848673178085, -36.86005275299993 -5.440274360178268, -36.86208844299995 -5.446896625178534, -36.87422605299997 -5.458232993178888, -36.87450368499997 -5.466428263179139, -36.87117719699994 -5.469412692179224, -36.86948594599994 -5.478141140179495, -36.87111712899997 -5.483406336179712, -36.87317223099996 -5.485976823179746, -36.87594357199999 -5.486384512179804, -36.88606551799995 -5.493276462179987, -36.88862290999997 -5.503047220180319, -36.89850020599993 -5.512201161180615, -36.89979444899996 -5.519564618180866, -36.90377165199993 -5.529559185181154, -36.90350020299996 -5.534495940181334, -36.89992310699994 -5.540806894181562, -36.89911740799994 -5.553301786181963, -36.89025123599998 -5.561370137182204, -36.88229288299993 -5.572010168182572, -36.88713399599993 -5.582101985182886, -36.89234551399993 -5.586768587183023, -36.89777771199994 -5.601260628183538, -36.89112820299993 -5.623277892184245, -36.89223338399994 -5.630842852184446, -36.88813697199999 -5.636334310184634, -36.88344490799994 -5.63962175518474, -36.88394776699993 -5.646743439185, -36.88166689999996 -5.651215036185097, -36.88396920099996 -5.682352013186145, -36.88756497599996 -5.69044091318642, -36.88782039099993 -5.703217188186786, -36.89356581799996 -5.710836063187021, -36.96152860299998 -5.752510380188388, -36.96510758499994 -5.77354241918909, -36.98011474499998 -5.783848460189406, -36.97740030899995 -5.813621239190344, -36.99003848799997 -5.817200390190452, -37.00621532299994 -5.831487672190983, -37.00965775299994 -5.83712466119114, -37.01173255499998 -5.858398728191812, -37.01535704999997 -5.870846456192256, -37.02651415299993 -5.884792724192673, -37.03557507099998 -5.891069157192872, -36.99409748999994 -5.771708021188997, -37.02136313999993 -5.755093726188456, -37.05456050699996 -5.745787980188167, -37.10459395099996 -5.65622150118528, -37.17275932999996 -5.490492299179904, -37.16868519199994 -5.474541741179385)))"
2400307.0,Afonso Bezerra,24,RN,"MULTIPOLYGON (((-36.85190919299999 -5.443479300178419, -36.86040500499996 -5.442342407178355, -36.86030584099995 -5.433848673178085, -36.85029914399996 -5.419146512177609, -36.84930669299995 -5.414093687177437, -36.83991460399994 -5.407491222177267, -36.83666624899996 -5.400786183177039, -36.83798721599992 -5.392230599176749, -36.53738179299995 -5.412795721177417, -36.51562613899994 -5.402238083177041, -36.43986853999996 -5.369881392176021, -36.46990726399997 -5.598372419183401, -36.57272539999997 -5.585927569183037, -36.57894061299992 -5.578924149182773, -36.58037372399996 -5.528788396181141, -36.64482142399993 -5.526277452181055, -36.69904528499995 -5.526148113181109, -36.69972435299997 -5.46381256617906, -36.85190919299999 -5.443479300178419)))"
2400406.0,Água Nova,24,RN,"MULTIPOLYGON (((-38.31144303999996 -6.176593711202078, -38.28854421599993 -6.187901537202444, -38.27877870399993 -6.1808632472022, -38.27012086699995 -6.182086518202246, -38.26675348399994 -6.184182526202353, -38.27115217699997 -6.197739803202749, -38.26528313799997 -6.209234209203101, -38.27958372499995 -6.237462573204044, -38.28209017899997 -6.239963228204132, -38.28623478399993 -6.239887983204129, -38.29038499699993 -6.236222632204025, -38.29484255499994 -6.239341037204115, -38.29903287599995 -6.237470497204034, -38.30157820499995 -6.241307579204181, -38.31617118899992 -6.233979497203936, -38.31716645299997 -6.23641606720398, -38.35788376199996 -6.217644535203418, -38.35749960999993 -6.201383308202868, -38.33991481599997 -6.189593135202497, -38.31144303999996 -6.176593711202078)))"
2400505.0,Alexandria,24,RN,"MULTIPOLYGON (((-38.10066095699995 -6.335935214207217, -38.09984150599995 -6.330295406207022, -38.08893972399994 -6.333134764207121, -38.08939253599992 -6.31705576120661, -38.07473812899996 -6.314003429206532, -38.06312152899994 -6.314567103206506, -38.05546959199994 -6.310986724206435, -38.05026351899993 -6.313544129206516, -38.04346285599996 -6.31248719620646, -38.04348266499994 -6.320576678206708, -38.03565297999994 -6.321589174206729, -37.98390641399993 -6.310632145206379, -37.97900819499994 -6.303522282206169, -37.97936599199993 -6.298301821205992, -37.97741546499998 -6.292329598205825, -37.96612244599993 -6.272442101205177, -37.96333042299995 -6.256454700204656, -37.88179278399996 -6.273097530205213, -37.88795265399994 -6.27794022820538, -37.90809597699995 -6.285189894205559, -37.90240744199996 -6.297775299205995, -37.90082282799995 -6.318318436206653, -37.86713223599997 -6.329567469206975, -37.86405576299995 -6.332386017207121, -37.85714895499996 -6.33055101720703, -37.85330355299993 -6.332555227207084, -37.84319529099997 -6.333088121207123, -37.84168691699995 -6.337209974207248, -37.83425999099995 -6.342385375207401, -37.83529459899995 -6.345716417207512, -37.84411674999995 -6.35435685120784, -37.84339799899993 -6.357683257207911, -37.84092237299996 -6.359281219207976, -37.84153103299997 -6.36303071520812, -37.85424223299997 -6.366316476208196, -37.85982750499993 -6.374877329208472, -37.87209606999994 -6.369214705208273, -37.88328770899994 -6.367023212208196, -37.88822467499994 -6.364369488208149, -37.88851115299997 -6.387208914208831, -37.88426199499997 -6.391676084208964, -37.88624954199996 -6.39700060520919, -37.89025633699997 -6.400135100209269, -37.89683701099994 -6.398626567209214, -37.90153206899998 -6.399679155209243, -37.92293247699996 -6.414664551209729, -37.92605143799993 -6.421137847209958, -37.93843125499995 -6.424048049210062, -37.94543745899995 -6.42262006421, -37.95520563299993 -6.408061533209544, -37.95539562199996 -6.3982083182092, -37.96307691299995 -6.400787915209301, -37.96802245399992 -6.405122468209441, -37.96867832299994 -6.418743311209867, -37.97106242999997 -6.422430766209984, -37.97908418899993 -6.426693203210126, -37.98901822899995 -6.428635958210202, -37.99727831399997 -6.426488920210106, -38.00281788499996 -6.428009156210195, -38.01369572999993 -6.427427275210148, -38.01439297999996 -6.430392212210243, -38.00962727099994 -6.43003709721025, -38.00822505699995 -6.432192334210328, -38.01207764499996 -6.438288548210489, -38.01996888299994 -6.446004916210724, -38.01294663899994 -6.468853508211473, -38.02181525799995 -6.468455649211485, -38.02712593399996 -6.475063886211653, -38.03417291999995 -6.475847380211695, -38.04064446599995 -6.473043610211604, -38.04092311899995 -6.470288880211525, -38.03625674899996 -6.459991732211177, -38.03701277999993 -6.457054597211127, -38.04392313999994 -6.451975455210948, -38.04339713599995 -6.443349506210663, -38.04532385099998 -6.441379547210592, -38.04971131399999 -6.441049985210599, -38.05145196099994 -6.442405481210653, -38.05395475299997 -6.453683857210963, -38.05924278299995 -6.453129277210998, -38.06193672699992 -6.459447768211194, -38.06713583199996 -6.460548846211206, -38.07086606299998 -6.463926643211355, -38.07713166799993 -6.463659898211311, -38.08983011099996 -6.455962961211081, -38.09681090299994 -6.44280242221063, -38.09803601299996 -6.429405902210203, -38.09171925699997 -6.415276732209747, -38.10555740399997 -6.41068522620961, -38.11040479399997 -6.402106597209317, -38.10645080099994 -6.378487477208587, -38.12129642199994 -6.372165238208416, -38.12560879599993 -6.367236193208205, -38.10361441199995 -6.356259944207846, -38.10066095699995 -6.335935214207217)))"
2400604.0,Almino Afonso,24,RN,"MULTIPOLYGON (((-37.80089862399995 -6.157563487201458, -37.80066643599997 -6.152185713201278, -37.79721697999997 -6.149457505201198, -37.80027724099995 -6.145685395201054, -37.80184653199996 -6.139710226200906, -37.80789618999994 -6.135686367200763, -37.80832034299994 -6.133811462200679, -37.80678211099995 -6.131763789200622, -37.80881636999993 -6.130519510200587, -37.81123467799995 -6.125537933200466, -37.81015009099996 -6.113982825200044, -37.80400649399996 -6.106083724199827, -37.80695550299998 -6.101778649199652, -37.80654871799992 -6.099639531199633, -37.80449106299994 -6.098338429199565, -37.79819615499996 -6.101355550199651, -37.79358813099997 -6.099580433199611, -37.79241857999995 -6.094155917199428, -37.78910196099996 -6.09217991619937, -37.78885256199993 -6.089595740199273, -37.78661209599994 -6.089183858199274, -37.78295572999996 -6.083975720199107, -37.78358310299995 -6.07979877219895, -37.78030187199993 -6.079404789198973, -37.78115721799996 -6.076688190198877, -37.77662443299994 -6.069054035198643, -37.77735681699993 -6.067777169198563, -37.77325597699996 -6.067852980198563, -37.77217993099998 -6.070696232198641, -37.76511203299997 -6.077295045198905, -37.76194128099996 -6.084319217199127, -37.75718793799995 -6.087906555199228, -37.76127585199998 -6.09016045819931, -37.76232079799996 -6.092791709199353, -37.75504459999996 -6.094948750199461, -37.75285583599998 -6.09731049319954, -37.74796484899997 -6.108252218199879, -37.74795500599998 -6.111312921200004, -37.74219514999993 -6.121735570200297, -37.71106308599996 -6.130816529200612, -37.70804391999996 -6.128039222200495, -37.70383461999994 -6.128068432200524, -37.68763758999994 -6.109311563199911, -37.70899661899995 -6.177004018202085, -37.73212254099996 -6.184809868202341, -37.74578963899994 -6.191031416202525, -37.75457156199996 -6.200193300202858, -37.75186790599997 -6.2115673592032, -37.75307943599995 -6.214429750203312, -37.75606821099996 -6.217156988203386, -37.76384579299996 -6.218899600203423, -37.77561650399997 -6.231343543203864, -37.77496765399997 -6.232682390203925, -37.76277222099997 -6.235337440203987, -37.76119533899998 -6.238519896204081, -37.76306634499997 -6.241135579204157, -37.77661321799996 -6.245874916204292, -37.78041498399994 -6.239688777204139, -37.78060633399997 -6.236691179204008, -37.79168628699995 -6.234030444203907, -37.79303339399996 -6.228202617203755, -37.79759510599995 -6.225706257203665, -37.79781924999997 -6.22050548120352, -37.79655201499997 -6.218744495203447, -37.79808343699995 -6.216557917203358, -37.79565375199996 -6.214360724203313, -37.79812714999997 -6.211510171203185, -37.79930612499992 -6.20626178920303, -37.79600747599994 -6.201820486202916, -37.79726485199995 -6.192702633202606, -37.80319876499993 -6.183385084202288, -37.80427800299997 -6.178524200202154, -37.80858340799994 -6.173078996201975, -37.80622524599994 -6.169446951201834, -37.81070187199997 -6.168129983201828, -37.80882271699994 -6.164062122201694, -37.80213525999994 -6.163198493201631, -37.80271609599997 -6.161817247201595, -37.79996090299994 -6.15917613620149, -37.80089862399995 -6.157563487201458)))"
2400703.0,Alto Do Rodrigues,24,RN,"MULTIPOLYGON (((-36.71049028399995 -5.321293556174433, -36.66436243599997 -5.372180429176106, -36.55541443399994 -5.394906729176838, -36.53738179299995 -5.412795721177417, -36.83798721599992 -5.392230599176749, -36.83852856099998 -5.387056828176592, -36.84224991499997 -5.380624866176366, -36.84078288999995 -5.372058022176106, -36.83256306499993 -5.367319667175917, -36.81689625499997 -5.369740591175973, -36.81259243999995 -5.368151154175994, -36.81173491999994 -5.365961917175867, -36.81355780199993 -5.359083058175663, -36.81094439399993 -5.344503543175223, -36.80047578499995 -5.331601605174769, -36.80034773699997 -5.329456412174703, -36.79559706499997 -5.327209248174654, -36.78970636699994 -5.32178412117446, -36.78905857499996 -5.317834985174305, -36.78035642299994 -5.309758271174083, -36.77769121199998 -5.302970048173869, -36.77758756299993 -5.294994197173576, -36.77530977399993 -5.290779596173427, -36.76228645199995 -5.281768277173189, -36.75456101199995 -5.27267603717286, -36.71049028399995 -5.321293556174433)))"
2400802.0,Angicos,24,RN,"MULTIPOLYGON (((-36.64591420999994 -5.526265742181083, -36.58037372399996 -5.528788396181141, -36.57894061299992 -5.578924149182773, -36.57272539999997 -5.585927569183037, -36.46990726399997 -5.598372419183401, -36.30516900999993 -5.651084753185135, -36.29922521899993 -5.655249737185253, -36.29563355799996 -5.659768824185422, -36.28847592999995 -5.66303255118551, -36.28562199499993 -5.669353385185712, -36.27949556199997 -5.670460189185721, -36.26960772099994 -5.680068393186034, -36.26223756199994 -5.679883569186062, -36.27354598599992 -5.709290796186987, -36.27888027599993 -5.71416008318717, -36.28600164199997 -5.710896511187038, -36.29084586099998 -5.705951641186886, -36.30622505299993 -5.707445898186928, -36.31096717099996 -5.718787904187296, -36.31469072499993 -5.720452970187354, -36.31909549799996 -5.719917519187363, -36.32567825399996 -5.721452531187404, -36.34098527999999 -5.71716206318724, -36.35141556199994 -5.71824580318727, -36.35655837999997 -5.71730397918727, -36.36109842799993 -5.708760252186973, -36.36351463099992 -5.70729415318695, -36.37080948099998 -5.70901964618699, -36.38482391299993 -5.70558945218691, -36.42316895799996 -5.705547584186861, -36.44420841399994 -5.698580134186656, -36.47782497099995 -5.703699644186792, -36.48247023699997 -5.702392931186783, -36.48550478799996 -5.697310998186637, -36.52383598999995 -5.699627974186692, -36.52332771499993 -5.691071014186391, -36.53248532999992 -5.690966127186434, -36.53819999999997 -5.69851000018663, -36.53846181399996 -5.702198958186768, -36.56792756999994 -5.75759308218858, -36.62083515099994 -5.756328843188506, -36.63009794699995 -5.75867057518858, -36.63728877899996 -5.755409277188496, -36.64113579899999 -5.758122683188593, -36.64587510299998 -5.758010650188582, -36.64570840799997 -5.748862993188257, -36.65758135399994 -5.742526143188093, -36.66267461199993 -5.721878628187419, -36.66607292799995 -5.719126816187332, -36.67471399299995 -5.706083456186876, -36.68845738099998 -5.703253372186802, -36.69918702999996 -5.695786786186543, -36.70267969399998 -5.70143326418675, -36.71473999999995 -5.70001435118668, -36.71514984299994 -5.694597302186553, -36.72130546499994 -5.693724955186483, -36.72514375799994 -5.691525946186431, -36.73176479499995 -5.68429231918619, -36.73464500099994 -5.667997637185643, -36.73974194099998 -5.666911386185654, -36.73850359799997 -5.662931902185512, -36.73913119599995 -5.655958976185303, -36.74765487199994 -5.6541709321852, -36.75114102699995 -5.648031040185045, -36.74961566399997 -5.640531759184773, -36.75352559599997 -5.634305779184549, -36.75342620699996 -5.6295518181844, -36.75598486799998 -5.622516926184201, -36.76488364299996 -5.620776646184143, -36.77084432299994 -5.616964754184046, -36.77179479499995 -5.614620559183925, -36.76940588199994 -5.608484170183736, -36.77121303699993 -5.605935559183631, -36.76727011799994 -5.601465189183527, -36.75599413599997 -5.600191232183438, -36.75198217399997 -5.593102688183225, -36.74897221999998 -5.591258353183187, -36.74384867699996 -5.591619700183207, -36.74113155799995 -5.585695844182982, -36.73511144399999 -5.583212288182941, -36.72533853499993 -5.573751738182593, -36.71382983499996 -5.556910860182083, -36.69904528499995 -5.526148113181109, -36.64591420999994 -5.526265742181083)))"
2400901.0,Antônio Martins,24,RN,"MULTIPOLYGON (((-37.97415031399998 -6.255304392204621, -38.06354324599993 -6.253613250204562, -38.05491426399993 -6.161025573201591, -38.04166029199995 -6.169102575201839, -38.04741635999994 -6.17249417920194, -38.04619275799997 -6.181078068202242, -38.03783840099992 -6.189365764202496, -38.03023644399997 -6.194015852202641, -38.02826033399997 -6.201578526202857, -38.02237491999994 -6.209492099203106, -38.00800454299997 -6.209169783203119, -38.00400436999995 -6.211228287203161, -37.99323677899997 -6.210266864203152, -37.98026500899993 -6.200708064202868, -37.97600568699993 -6.192786201202587, -37.97311546799993 -6.190689817202547, -37.97123737599998 -6.184889907202342, -37.96780590499998 -6.181498803202241, -37.96605412399998 -6.177282304202119, -37.95747749599996 -6.171546199201954, -37.94707860499994 -6.160476145201562, -37.94269961499997 -6.160607863201553, -37.94218356099998 -6.163594022201649, -37.93837725499998 -6.161072021201566, -37.93452267899993 -6.161433028201624, -37.93457741299993 -6.164667205201682, -37.93314959799994 -6.165620892201707, -37.93212992099996 -6.164627546201717, -37.93268761199993 -6.157570050201466, -37.92685368199994 -6.15508347920137, -37.92555886199994 -6.157060472201444, -37.92237079999995 -6.157440766201487, -37.92370915799995 -6.164710523201689, -37.92228279899996 -6.164972947201716, -37.91965030299995 -6.157344469201469, -37.92428643499995 -6.147906103201172, -37.92008111099994 -6.145720277201088, -37.92524728899996 -6.143386044201015, -37.91628586999996 -6.141753940200942, -37.91288415999996 -6.145111487201055, -37.90997391899997 -6.14058587420091, -37.90535087199993 -6.142688373200992, -37.90738032299998 -6.145495301201064, -37.90228216199993 -6.149048028201172, -37.91226589699994 -6.148805486201185, -37.91477667799995 -6.150131787201251, -37.91557901999993 -6.156234852201436, -37.91415295199992 -6.155639837201412, -37.91389107899992 -6.152204971201282, -37.91165064199998 -6.150817710201256, -37.91089030399996 -6.157644899201444, -37.90817111599994 -6.158793410201481, -37.91481399499997 -6.164846621201725, -37.90972412599996 -6.163381694201649, -37.90125942299994 -6.15204850920129, -37.89521337399997 -6.153390315201354, -37.89377969199995 -6.156025333201416, -37.89526845299996 -6.159064662201495, -37.89390516299994 -6.162459854201643, -37.89965991099995 -6.169630057201863, -37.90278857499994 -6.168515436201816, -37.90705160999993 -6.173737063202015, -37.90691496699998 -6.175550702202051, -37.89869683899996 -6.176642415202069, -37.89408367599997 -6.173709539201999, -37.89619295999994 -6.171801099201904, -37.88949667299993 -6.166870139201782, -37.86061341299995 -6.183393765202307, -37.85506936899998 -6.183802666202317, -37.79779096199997 -6.217263625203366, -37.79655201499997 -6.218744495203447, -37.79828423399993 -6.224175255203634, -37.79587250899993 -6.227270244203708, -37.79303339399996 -6.228202617203755, -37.79168628699995 -6.234030444203907, -37.78060633399997 -6.236691179204008, -37.78041498399994 -6.239688777204139, -37.77661321799996 -6.245874916204292, -37.78385141399996 -6.251618496204474, -37.79443575899995 -6.256473289204627, -37.80684777099997 -6.256254117204675, -37.82804499499996 -6.252848852204523, -37.84691718899995 -6.254474975204568, -37.85931112899993 -6.263950269204914, -37.86968066199994 -6.268556735205043, -37.87991503999995 -6.269107659205047, -37.88179278399996 -6.273097530205213, -37.96333042299995 -6.256454700204656, -37.97415031399998 -6.255304392204621)))"
2401008.0,Apodi,24,RN,"MULTIPOLYGON (((-38.03574451699996 -5.638580367184739, -38.01396409199997 -5.5943980571833, -37.99832743399997 -5.585317541182982, -37.99967011899997 -5.574827184182654, -37.99789344699997 -5.56809058518241, -37.99003714999997 -5.555797929182031, -37.97568548299995 -5.550773998181873, -37.96017014999995 -5.540209211181502, -37.94805647599997 -5.53464486418138, -37.94165079299994 -5.523551240180992, -37.93469952199995 -5.50528436718039, -37.93263434299996 -5.503107710180311, -37.92727256499995 -5.502229622180315, -37.91749040099995 -5.505360840180443, -37.91062072599993 -5.503936028180353, -37.90157726899997 -5.499792380180235, -37.90042028599998 -5.490444531179956, -37.89841816699993 -5.485879059179769, -37.89222534199995 -5.480759618179643, -37.88954092199997 -5.452288233178674, -37.88648464299995 -5.443829633178405, -37.87698497499997 -5.427389194177874, -37.86048164199996 -5.406685692177186, -37.85931586799995 -5.395734459176822, -37.86427516099996 -5.378352648176302, -37.86373605699998 -5.374091398176153, -37.85864052699997 -5.36719564617595, -37.85765743599995 -5.356723665175575, -37.84747043499993 -5.340023053175015, -37.83571249499994 -5.335386593174894, -37.82287423499996 -5.322939931174486, -37.81280227399997 -5.31656915217428, -37.64220623999994 -5.415159943177472, -37.76444122799995 -5.582626557182914, -37.73798228799996 -5.598361442183411, -37.72930584199997 -5.595565323183338, -37.69127063999996 -5.623510479184218, -37.67475552399998 -5.632633131184545, -37.67998385699997 -5.649620740185042, -37.68161218299997 -5.650651566185114, -37.68671443799996 -5.649390318185089, -37.69158752299995 -5.6532120731852, -37.69288055599997 -5.658114585185345, -37.69157229699993 -5.660396499185399, -37.69177395399998 -5.667692019185667, -37.69974209399992 -5.685673596186252, -37.70772100299996 -5.7212643821874, -37.72086892199996 -5.740455556188017, -37.73390895599994 -5.912026938193539, -37.78137879199993 -5.925357470193963, -37.89552703699997 -5.941654734194496, -37.90017300699997 -5.931796822194199, -37.89741664199993 -5.92790379119406, -37.90118366699993 -5.927193546194045, -37.90638970399993 -5.922022376193902, -37.90788020899998 -5.917831850193759, -37.91270168599993 -5.913733263193576, -37.91314657799995 -5.903535012193291, -37.87224963599994 -5.878652862192476, -37.87986052599996 -5.754318892188463, -37.85608412799996 -5.747379592188226, -37.88132021899997 -5.696946168186606, -38.05859278199994 -5.754851417188475, -38.05753650299993 -5.748163146188275, -38.04965397999995 -5.739824869187998, -38.04700836199993 -5.730262770187698, -38.05059069999993 -5.728279765187633, -38.05750320199996 -5.729746255187657, -38.06176670899998 -5.72524486918751, -38.06835202699995 -5.725448993187487, -38.07324257299995 -5.723571131187473, -38.08015691199994 -5.725514777187505, -38.08716715099995 -5.730521975187666, -38.08895272199992 -5.728088763187626, -38.08969390899994 -5.714846439187164, -38.08284199299993 -5.698403358186639, -38.08411810899998 -5.677389365185979, -38.08198540699993 -5.670122727185756, -38.07584991399994 -5.663059465185503, -38.06425451599994 -5.656323468185267, -38.05338357999995 -5.646104021184937, -38.03574451699996 -5.638580367184739)))"
